,Quarter,Time,Tm,Detail,CAR,TEN
0,1.0,8:36,Panthers,Jonathan Stewart 16 yard rush (Graham Gano kick),7,0
1,1.0,3:38,Titans,Dexter McCluster 25 yard rush (Ryan Succop kick),7,7
2,2.0,13:14,Panthers,Ed Dickson 1 yard pass from Cam Newton (Graham Gano kick),14,7
3,2.0,7:45,Titans,Ryan Succop 45 yard field goal,14,10
4,3.0,0:23,Panthers,Graham Gano 48 yard field goal,17,10
5,4.0,9:06,Panthers,Graham Gano 19 yard field goal,20,10
6,4.0,2:42,Panthers,Cam Newton 2 yard rush (Graham Gano kick),27,10
