,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,7:20,Falcons,Tony Martin 12 yard pass from Chris Chandler (Jay Feely kick),0,7
1,1.0,2:41,Panthers,John Kasay 30 yard field goal,3,7
2,2.0,8:34,Panthers,Chris Weinke 5 yard rush (John Kasay kick),10,7
3,2.0,1:38,Falcons,Jay Feely 25 yard field goal,10,10
4,3.0,11:06,Falcons,Jamal Anderson 94 yard pass from Chris Chandler (Jay Feely kick),10,17
5,3.0,2:30,Panthers,John Kasay 26 yard field goal,13,17
6,4.0,12:36,Falcons,Michael Vick 2 yard rush (Jay Feely kick),13,24
7,4.0,5:37,Panthers,John Kasay 31 yard field goal,16,24
