,Quarter,Time,Tm,Detail,TEN,NYJ
0,1.0,9:40,Jets,Mark Sanchez 14 yard rush (Jay Feely kick),0,7
1,1.0,6:51,Jets,Ben Hartsock 2 yard pass from Mark Sanchez (Jay Feely kick),0,14
2,2.0,9:24,Titans,LenDale White 5 yard rush (Rob Bironas kick),7,14
3,2.0,0:08,Titans,Rob Bironas 38 yard field goal,10,14
4,3.0,11:34,Titans,Nate Washington 9 yard pass from Kerry Collins (Rob Bironas kick),17,14
5,3.0,5:07,Jets,Jerricho Cotchery 6 yard pass from Mark Sanchez (Jay Feely kick),17,21
6,4.0,11:36,Jets,Jay Feely 30 yard field goal,17,24
