,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Don Perkins 7 yard pass from Don Meredith (Mike Clark kick),7,0
1,1.0,Cowboys,Mike Clark 14 yard field goal,10,0
2,2.0,Cardinals,Jim Bakken 32 yard field goal,10,3
3,3.0,Cardinals,Jackie Smith 2 yard pass from Jim Hart (Jim Bakken kick),10,10
4,3.0,Cowboys,Mike Clark 50 yard field goal,13,10
5,4.0,Cowboys,Les Shy 17 yard rush (Mike Clark kick),20,10
6,4.0,Cowboys,Don Meredith 2 yard rush (Mike Clark kick),27,10
