,Quarter,Tm,Detail,GNB,SFO
0,1.0,49ers,Joe Arenas 2 yard rush (Gordie Soltau kick),0,7
1,1.0,49ers,Hugh McElhenny 19 yard pass from Y.A. Tittle (Gordie Soltau kick),0,14
2,2.0,49ers,Joe Perry 19 yard rush (Gordie Soltau kick),0,21
3,2.0,Packers,Fred Cone 1 yard rush (Fred Cone kick),7,21
4,3.0,49ers,Joe Arenas 12 yard rush (Gordie Soltau kick),7,28
5,3.0,49ers,Rex Berry 30 yard interception return (Gordie Soltau kick),7,35
6,3.0,49ers,Gordie Soltau 14 yard field goal,7,38
7,4.0,49ers,Billy Wilson 2 yard pass from Y.A. Tittle (Gordie Soltau kick),7,45
8,4.0,Packers,Don Barton 42 yard pass from Babe Parilli (Fred Cone kick),14,45
9,4.0,49ers,Gordie Soltau 29 yard field goal,14,48
