,Quarter,Tm,Detail,DET,WAS
0,1.0,Lions,Eddie Murray 40 yard field goal,3,0
1,2.0,Redskins,Ali Haji-Sheikh 33 yard field goal,3,3
2,2.0,Redskins,Kelvin Bryant 16 yard pass from Doug Williams (Ali Haji-Sheikh kick),3,10
3,2.0,Redskins,Gary Clark 42 yard pass from Doug Williams (Ali Haji-Sheikh kick),3,17
4,3.0,Lions,Eddie Murray 41 yard field goal,6,17
5,3.0,Redskins,Ali Haji-Sheikh 41 yard field goal,6,20
6,3.0,Lions,Karl Bernard 2 yard rush (Eddie Murray kick),13,20
