,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,2:55,Seahawks,Stephen Hauschka 30 yard field goal,0,3
1,2.0,12:48,Cardinals,Jay Feely 44 yard field goal,3,3
2,2.0,7:29,Cardinals,Larry Fitzgerald 12 yard pass from Kevin Kolb (Jay Feely kick),10,3
3,2.0,0:43,Seahawks,Stephen Hauschka 52 yard field goal,10,6
4,3.0,5:57,Seahawks,Tarvaris Jackson 11 yard rush (Stephen Hauschka kick),10,13
