,Quarter,Time,Tm,Detail,BUF,CHI
0,1.0,9:07,Bears,Robbie Gould 42 yard field goal,0,3
1,1.0,3:43,Bears,Robbie Gould 43 yard field goal,0,6
2,2.0,13:01,Bears,Bernard Berrian 8 yard pass from Rex Grossman (Robbie Gould kick),0,13
3,2.0,8:30,Bears,Cedric Benson 1 yard rush (Robbie Gould kick),0,20
4,2.0,4:22,Bears,Rashied Davis 15 yard pass from Rex Grossman (Robbie Gould kick),0,27
5,3.0,7:05,Bears,Robbie Gould 32 yard field goal,0,30
6,4.0,6:05,Bears,Robbie Gould 41 yard field goal,0,33
7,4.0,4:36,Bears,Cedric Benson 1 yard rush (Robbie Gould kick),0,40
8,4.0,1:06,Bills,Lee Evans 5 yard pass from J.P. Losman (Rian Lindell kick),7,40
