,Quarter,Tm,Detail,CHI,TAM
0,1.0,Buccaneers,Calvin Magee 7 yard pass from Steve DeBerg (Donald Igwebuike kick),0,7
1,1.0,Buccaneers,Jeff Smith 28 yard pass from Steve DeBerg (Donald Igwebuike kick),0,14
2,1.0,Buccaneers,Winston Moss defensive fumble recovery in end zone,0,20
3,2.0,Bears,Neal Anderson 38 yard rush (Kevin Butler kick),7,20
4,2.0,Bears,Dennis McKinnon 65 yard punt return (Kevin Butler kick),14,20
5,2.0,Buccaneers,Donald Igwebuike 46 yard field goal,14,23
6,3.0,Buccaneers,Donald Igwebuike 37 yard field goal,14,26
7,4.0,Bears,Jim McMahon 1 yard rush,20,26
8,4.0,Bears,Neal Anderson 6 yard pass from Jim McMahon (Kevin Butler kick),27,26
