,Quarter,Tm,Detail,PHI,CRD
0,1.0,Eagles,Bobby Walston 39 yard field goal,3,0
1,2.0,Cardinals,Don Stonesifer 8 yard pass from Lamar McHan (Pat Summerall kick),3,7
2,3.0,Cardinals,Gern Nagler 29 yard pass from Lamar McHan (Pat Summerall kick),3,14
3,3.0,Cardinals,Dave Mann 16 yard pass from Lamar McHan (Pat Summerall kick),3,21
4,4.0,Eagles,Dick Bielski 2 yard rush (Bobby Walston kick),10,21
5,4.0,Eagles,Hal Giancanelli 4 yard rush (Bobby Walston kick),17,21
6,4.0,Cardinals,Gern Nagler 4 yard pass from Lamar McHan (Pat Summerall kick),17,28
