,Quarter,Tm,Detail,ATL,SFO
0,1.0,Falcons,Michael Haynes 27 yard pass from Chris Miller (Norm Johnson kick),7,0
1,1.0,Falcons,Andre Rison 7 yard pass from Chris Miller (Norm Johnson kick),14,0
2,2.0,Falcons,Norm Johnson 29 yard field goal,17,0
3,2.0,49ers,Steve Young 6 yard rush (Mike Cofer kick),17,7
4,2.0,Falcons,Norm Johnson 43 yard field goal,20,7
5,2.0,49ers,John Taylor 54 yard pass from Steve Young (Mike Cofer kick),20,14
6,3.0,49ers,Jerry Rice 57 yard pass from Steve Young,20,20
7,3.0,Falcons,Deion Sanders 100 yard kickoff return (Norm Johnson kick),27,20
8,3.0,49ers,Harry Sydney 5 yard rush (Mike Cofer kick),27,27
9,3.0,Falcons,Andre Rison 1 yard pass from Chris Miller,33,27
10,4.0,49ers,Steve Young 7 yard rush (Mike Cofer kick),33,34
11,4.0,Falcons,Norm Johnson 44 yard field goal,36,34
12,4.0,Falcons,Norm Johnson 30 yard field goal,39,34
