,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Jimmy Strausbaugh 12 yard rush (Ward Cuff kick),0,7
1,2.0,Cardinals,Ward Cuff 15 yard field goal,0,10
2,2.0,Bears,Hugh Gallarneau 7 yard rush (Joe Stydahar kick),7,10
3,3.0,Cardinals,Billy Dewell 82 yard pass from Paul Christman (Ward Cuff kick),7,17
4,3.0,Bears,George Wilson 5 yard pass from Sid Luckman (Joe Stydahar kick),14,17
5,4.0,Bears,Bill Osmanski 3 yard rush (Joe Stydahar kick),21,17
6,4.0,Bears,Ken Kavanaugh 20 yard pass from Sid Luckman,27,17
7,4.0,Bears,Dick Schweidler 5 yard rush (Joe Stydahar kick),34,17
