,Quarter,Tm,Detail,NYG,PHI
0,1.0,Eagles,Jack Ferrante 64 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,7
1,1.0,Giants,Ken Strong 23 yard field goal,3,7
2,2.0,Eagles,Jack Ferrante 24 yard pass from Roy Zimmerman (Roy Zimmerman kick),3,14
3,2.0,Eagles,Roy Zimmerman 21 yard field goal,3,17
4,2.0,Eagles,Steve Van Buren 2 yard rush (Roy Zimmerman kick),3,24
5,4.0,Giants,Howie Livingston 8 yard rush (Ken Strong kick),10,24
6,4.0,Eagles,Steve Van Buren 22 yard rush (Roy Zimmerman kick),10,31
7,4.0,Eagles,Gil Steinke 5 yard rush (Roy Zimmerman kick),10,38
8,4.0,Giants,Frank Liebel 37 yard pass from Marion Pugh (Ken Strong kick),17,38
