,Quarter,Tm,Detail,NOR,HOU
0,1.0,Saints,Morten Andersen 20 yard field goal,3,0
1,2.0,Oilers,Lorenzo White 6 yard pass from Warren Moon (Tony Zendejas kick),3,7
2,2.0,Oilers,Tony Zendejas 43 yard field goal,3,10
3,3.0,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),3,17
4,3.0,Oilers,Tony Zendejas 45 yard field goal,3,20
5,4.0,Saints,Hoby Brenner 31 yard pass from Steve Walsh (Morten Andersen kick),10,20
6,4.0,Oilers,Tony Zendejas 33 yard field goal,10,23
