,Quarter,Tm,Detail,PIT,KAN
0,1.0,Steelers,Rod Woodson 80 yard punt return (Gary Anderson kick),7,0
1,2.0,Steelers,Gary Anderson 49 yard field goal,10,0
2,2.0,Steelers,Gary Anderson 30 yard field goal,13,0
3,2.0,Chiefs,Eddie Murray 52 yard field goal,13,3
4,3.0,Steelers,Barry Foster 4 yard rush (Gary Anderson kick),20,3
5,4.0,Steelers,Eric Green 4 yard pass from Neil O'Donnell (Gary Anderson kick),27,3
