,Quarter,Tm,Detail,MIA,BOS
0,1.0,Dolphins,Bob Griese 5 yard rush (Karl Kremser kick),7,0
1,1.0,Patriots,Gino Cappelletti 41 yard field goal,7,3
2,2.0,Dolphins,Jim Kiick 5 yard rush (Karl Kremser kick),14,3
3,2.0,Patriots,Carl Garrett 10 yard rush (Gino Cappelletti kick),14,10
4,2.0,Patriots,Jim Nance 1 yard rush (Gino Cappelletti kick),14,17
5,2.0,Patriots,Gino Cappelletti 22 yard field goal,14,20
6,4.0,Patriots,Ron Sellers 24 yard pass from Mike Taliaferro (Gino Cappelletti kick),14,27
