,Quarter,Tm,Detail,SFO,DAL
0,1.0,Cowboys,Walt Garrison 7 yard rush (Toni Fritsch kick),0,7
1,2.0,49ers,Skip Vanderbundt 73 yard defensive fumble return (Bruce Gossett kick),7,7
2,2.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),14,7
3,2.0,Cowboys,Toni Fritsch 23 yard field goal,14,10
4,3.0,49ers,Ted Kwalick 12 yard pass from Steve Spurrier (Bruce Gossett kick),21,10
5,4.0,49ers,Bruce Gossett 18 yard field goal,24,10
6,4.0,49ers,Skip Vanderbundt 21 yard interception return (Bruce Gossett kick),31,10
