,Quarter,Tm,Detail,NYG,RAI
0,1.0,Giants,"Safety, Marshall tackled Plunkett in end zone",2,0
1,2.0,Raiders,Don Hasselbeck 13 yard pass from Jim Plunkett (Chris Bahr kick),2,7
2,2.0,Raiders,Chris Bahr 47 yard field goal,2,10
3,2.0,Giants,Ali Haji-Sheikh 31 yard field goal,5,10
4,2.0,Raiders,Chris Bahr 38 yard field goal,5,13
5,3.0,Raiders,Malcolm Barnwell 36 yard pass from Jim Plunkett (Chris Bahr kick),5,20
6,4.0,Raiders,Marcus Allen 11 yard rush (Chris Bahr kick),5,27
7,4.0,Giants,Byron Williams 43 yard pass from Scott Brunner (Ali Haji-Sheikh kick),12,27
