,Quarter,Tm,Detail,DAY,CAN
0,1.0,Bulldogs,Pete Henry 39 yard field goal,0,3
1,2.0,Bulldogs,Doc Elliott 1 yard rush (Pete Henry kick),0,10
2,2.0,Bulldogs,Pete Henry 35 yard field goal,0,13
3,3.0,Bulldogs,Pete Henry 45 yard field goal,0,16
4,4.0,Bulldogs,Tex Grigg 79 yard rush (Pete Henry kick),0,23
5,4.0,Bulldogs,Tex Grigg 9 yard rush (Pete Henry kick),0,30
