,Quarter,Time,Tm,Detail,NWE,BUF
0,1,4:02,Patriots,Adam Vinatieri 40 yard field goal,3,0
1,2,0:53,Patriots,Adam Vinatieri 32 yard field goal,6,0
2,3,11:13,Bills,Shayne Graham 41 yard field goal,6,3
3,4,10:38,Bills,Shayne Graham 25 yard field goal,6,6
4,4,5:57,Bills,Shayne Graham 41 yard field goal,6,9
5,4,2:45,Patriots,Adam Vinatieri 25 yard field goal,9,9
6,OT,9:15,Patriots,Adam Vinatieri 23 yard field goal,12,9
