,Quarter,Tm,Detail,DET,MIN
0,1.0,Lions,Eric Hipple 1 yard rush (Eddie Murray kick),7,0
1,2.0,Vikings,Rich Karlis 22 yard field goal,7,3
2,2.0,Vikings,Mike Merriweather 15 yard interception return (Rich Karlis kick),7,10
3,2.0,Vikings,Issiac Holt 90 yard interception return (Rich Karlis kick),7,17
4,2.0,Vikings,Brent Novoselsky 2 yard pass from Tommy Kramer (Rich Karlis kick),7,24
5,2.0,Lions,Eddie Murray 50 yard field goal,10,24
6,4.0,Lions,Bob Gagliano 1 yard rush (Eddie Murray kick),17,24
