,Quarter,Tm,Detail,NOR,DAL
0,1.0,Cowboys,Drew Pearson 4 yard pass from Danny White (Rafael Septien kick),0,7
1,2.0,Cowboys,Rafael Septien 41 yard field goal,0,10
2,2.0,Saints,Morten Andersen 19 yard field goal,3,10
3,2.0,Saints,Wayne Wilson 2 yard rush (Morten Andersen kick),10,10
4,2.0,Cowboys,Rafael Septien 34 yard field goal,10,13
5,3.0,Saints,Morten Andersen 42 yard field goal,13,13
6,4.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),20,13
7,4.0,Cowboys,Ron Fellows 62 yard blocked field goal return,20,19
8,4.0,Cowboys,"Safety, Dickerson tackled Stabler in end zone",20,21
