,Quarter,Tm,Detail,SDG,MIA
0,1.0,Dolphins,Garo Yepremian 52 yard field goal,0,3
1,1.0,Dolphins,Garo Yepremian 45 yard field goal,0,6
2,2.0,Chargers,Bob Klein 2 yard pass from James Harris (Rolf Benirschke kick),7,6
3,4.0,Dolphins,Norm Bulaich 3 yard rush (Garo Yepremian kick),7,13
4,4.0,Chargers,James Harris 5 yard rush (Rolf Benirschke kick),14,13
