,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Ace Gutowsky 1 yard rush (Dutch Clark kick),7,0
1,2.0,Lions,Harry Ebding fumble recovery in end zone (Regis Monahan kick),14,0
2,2.0,Lions,Tom Hupke 45 yard interception return (Regis Monahan kick),21,0
3,3.0,Lions,Ernie Caddel 23 yard rush (Dutch Clark kick),28,0
