,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,"Safety, Holt blocked punt out of end zone",0,2
1,1.0,Cowboys,Emmitt Smith 5 yard rush (Lin Elliott kick),0,9
2,2.0,Redskins,Gary Clark 30 yard pass from Mark Rypien (Chip Lohmiller kick),7,9
3,2.0,Cowboys,Alvin Harper 26 yard pass from Troy Aikman (Lin Elliott kick),7,16
4,3.0,Cowboys,Kelvin Martin 79 yard punt return (Lin Elliott kick),7,23
5,4.0,Redskins,Chip Lohmiller 49 yard field goal,10,23
