,Quarter,Tm,Detail,BKN,WAS
0,2.0,Redskins,Wayne Millner 25 yard pass from Sammy Baugh,0,6
1,3.0,Redskins,Riley Smith 31 yard field goal,0,9
2,4.0,Redskins,"Safety, Edwards blocked punt out of end zone",0,11
3,4.0,Dodgers,Jeff Barrett 9 yard pass from Ed Goddard (Ralph Kercheval kick),7,11
