,Quarter,Time,Tm,Detail,BUF,KAN
0,2,1:28,Chiefs,Dwayne Bowe 1 yard pass from Matt Cassel (Ryan Succop kick),0,7
1,3,6:03,Bills,Rian Lindell 43 yard field goal,3,7
2,4,9:36,Chiefs,Ryan Succop 28 yard field goal,3,10
3,4,2:18,Bills,Steve Johnson 4 yard pass from Ryan Fitzpatrick (Rian Lindell kick),10,10
4,OT,0:00,Chiefs,Ryan Succop 35 yard field goal,10,13
