,Quarter,Tm,Detail,SDG,HOU
0,2.0,Chargers,John Jefferson 33 yard pass from Dan Fouts (Rolf Benirschke kick),7,0
1,2.0,Oilers,Robert Woods 21 yard pass from Dan Pastorini (Toni Fritsch kick),7,7
2,2.0,Oilers,Toni Fritsch 43 yard field goal,7,10
3,2.0,Chargers,Dwight McDonald 37 yard pass from Dan Fouts (Rolf Benirschke kick),14,10
4,2.0,Chargers,Don Woods 3 yard rush (Rolf Benirschke kick),21,10
5,2.0,Oilers,Ronnie Coleman 7 yard pass from Dan Pastorini (Toni Fritsch kick),21,17
6,3.0,Chargers,Rolf Benirschke 19 yard field goal,24,17
7,3.0,Chargers,Bob Klein 10 yard pass from Dan Fouts (Rolf Benirschke kick),31,17
8,4.0,Oilers,Tim Wilson 2 yard pass from Dan Pastorini (Toni Fritsch kick),31,24
9,4.0,Chargers,Don Woods 18 yard rush (Rolf Benirschke kick),38,24
10,4.0,Chargers,John Jefferson 36 yard pass from Dan Fouts (Rolf Benirschke kick),45,24
