,Quarter,Tm,Detail,CHI,KAN
0,1.0,Chiefs,Jan Stenerud 47 yard field goal,0,3
1,2.0,Chiefs,Jan Stenerud 17 yard field goal,0,6
2,2.0,Chiefs,Jan Stenerud 43 yard field goal,0,9
3,2.0,Chiefs,Jan Stenerud 42 yard field goal,0,12
4,3.0,Bears,Carl Garrett 9 yard rush (Mirro Roder kick),7,12
5,3.0,Chiefs,Otis Taylor 24 yard pass from Mike Livingston (Jan Stenerud kick),7,19
