,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Charlie Gogolak 40 yard field goal,3,0
1,2.0,Bills,J.D. Hill 11 yard pass from Dennis Shaw (John Leypoldt kick),3,7
2,2.0,Patriots,Charlie Gogolak 17 yard field goal,6,7
3,2.0,Bills,J.D. Hill 47 yard pass from Dennis Shaw (John Leypoldt kick),6,14
4,2.0,Bills,John Leypoldt 48 yard field goal,6,17
5,3.0,Patriots,Jim Nance 1 yard rush (Charlie Gogolak kick),13,17
6,4.0,Bills,O.J. Simpson 7 yard rush (John Leypoldt kick),13,24
7,4.0,Patriots,Ron Sellers 12 yard pass from Jim Plunkett (Charlie Gogolak kick),20,24
8,4.0,Bills,John Leypoldt 41 yard field goal,20,27
