,Quarter,Time,Tm,Detail,SFO,CAR
0,1,8:12,Panthers,Richard Huntley 13 yard pass from Chris Weinke (John Kasay kick),0,7
1,2,9:57,49ers,J.J. Stokes 14 yard pass from Jeff Garcia (Jose Cortez kick),7,7
2,2,5:22,Panthers,John Kasay 25 yard field goal,7,10
3,3,10:26,Panthers,John Kasay 41 yard field goal,7,13
4,3,6:53,49ers,J.J. Stokes 9 yard pass from Jeff Garcia (Jose Cortez kick),14,13
5,4,13:03,Panthers,Wesley Walls 24 yard pass from Chris Weinke (pass failed),14,19
6,4,1:52,Panthers,John Kasay 28 yard field goal,14,22
7,4,0:01,49ers,Terrell Owens 7 yard pass from Jeff Garcia (Eric Johnson pass from Jeff Garcia ),22,22
8,OT,10:19,49ers,Jose Cortez 26 yard field goal,25,22
