,Quarter,Tm,Detail,CLE,CRD
0,1.0,Cardinals,Pat Summerall 12 yard field goal,0,3
1,1.0,Browns,Ray Renfro 46 yard pass from George Ratterman (Lou Groza kick),7,3
2,2.0,Cardinals,Pat Summerall 16 yard field goal,7,6
3,4.0,Cardinals,Pat Summerall 9 yard field goal,7,9
