,Quarter,Tm,Detail,OOR,CAN
0,3.0,Bulldogs,Norb Sacksteder 60 yard punt return (Ed Shaw kick),0,7
1,3.0,Bulldogs,Harry Robb unknown yard rush (Ed Shaw kick),0,14
