,Quarter,Time,Tm,Detail,NYG,SFO
0,1.0,9:24,Giants,Jay Feely 22 yard field goal,3,0
1,2.0,0:13,Giants,Jeremy Shockey 32 yard pass from Eli Manning (Jay Feely kick),10,0
2,3.0,10:24,49ers,Joe Nedney 48 yard field goal,10,3
3,3.0,4:42,49ers,Joe Nedney 52 yard field goal,10,6
4,4.0,13:19,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),17,6
5,4.0,6:18,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),24,6
