,Quarter,Time,Tm,Detail,DEN,NYG
0,1.0,,Broncos,Jason Elam 24 yard field goal,3,0
1,1.0,,Giants,Brad Daluiso 36 yard field goal,3,3
2,2.0,,Broncos,Jason Elam 38 yard field goal,6,3
3,2.0,0:51,Giants,Tiki Barber 21 yard pass from Kent Graham (Brad Daluiso kick),6,10
4,3.0,0:51,Broncos,Jason Elam 30 yard field goal,9,10
5,4.0,0:51,Giants,Brad Daluiso 19 yard field goal,9,13
6,4.0,0:51,Broncos,Terrell Davis 27 yard rush (Jason Elam kick),16,13
7,4.0,0:57,Giants,Amani Toomer 37 yard pass from Kent Graham (Brad Daluiso kick),16,20
