,Quarter,Tm,Detail,DET,MIN
0,1.0,Lions,Jerry DePoyster 33 yard field goal,3,0
1,2.0,Vikings,Jim Lindsey 3 yard rush (Fred Cox kick),3,7
2,3.0,Vikings,Fred Cox 29 yard field goal,3,10
3,4.0,Lions,Mel Farr 30 yard pass from Bill Munson (Jerry DePoyster kick),10,10
4,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),10,17
5,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),10,24
