,Quarter,Time,Tm,Detail,ARI,BAL
0,1.0,,Cardinals,Joe Nedney 22 yard field goal,3,0
1,2.0,,Ravens,Matt Stover 46 yard field goal,3,3
2,3.0,,Cardinals,Joe Nedney 27 yard field goal,6,3
3,3.0,,Ravens,Bam Morris 1 yard rush (Matt Stover kick),6,10
4,4.0,,Cardinals,Frank Sanders 4 yard pass from Jake Plummer (Joe Nedney kick),13,10
5,4.0,,Ravens,Matt Stover 34 yard field goal,13,13
6,4.0,,Cardinals,Joe Nedney 43 yard field goal,16,13
