,Quarter,Tm,Detail,TAM,MIN
0,1.0,Vikings,Rick Danmeier 33 yard field goal,0,3
1,2.0,Vikings,Rick Danmeier 38 yard field goal,0,6
2,2.0,Vikings,Ted Brown 2 yard rush (Rick Danmeier kick),0,13
3,2.0,Vikings,Rick Danmeier 41 yard field goal,0,16
4,3.0,Vikings,Rickey Young 1 yard pass from Tommy Kramer (Rick Danmeier kick),0,23
5,3.0,Buccaneers,Bill Capece 27 yard field goal,3,23
6,4.0,Vikings,"Safety, Mullaney tackled Williams in end zone",3,25
7,4.0,Buccaneers,Jimmie Giles 1 yard pass from Doug Williams (Bill Capece kick),10,25
