,Quarter,Time,Tm,Detail,DAL,NYG
0,1,3:15,Cowboys,Tim Seder 22 yard field goal,3,0
1,1,0:19,Cowboys,Joey Galloway 16 yard pass from Clint Stoerner (Tim Seder kick),10,0
2,2,14:32,Cowboys,Dexter Coakley 29 yard interception return (Tim Seder kick),17,0
3,2,3:22,Giants,Joe Jurevicius 4 yard pass from Kerry Collins (Morten Andersen kick),17,7
4,2,0:39,Cowboys,Mario Edwards 71 yard interception return (Tim Seder kick),24,7
5,3,5:45,Giants,Joe Jurevicius 34 yard pass from Kerry Collins (Morten Andersen kick),24,14
6,4,10:41,Giants,Morten Andersen 40 yard field goal,24,17
7,4,8:19,Giants,Ike Hilliard 9 yard pass from Kerry Collins (Morten Andersen kick),24,24
8,OT,7:48,Giants,Morten Andersen 42 yard field goal,24,27
