,Quarter,Tm,Detail,DET,STL
0,1.0,Lions,Jim Martin 24 yard field goal,3,0
1,2.0,Lions,Gail Cogdill 33 yard pass from Jim Ninowski (Jim Martin kick),10,0
2,2.0,Lions,Dan Lewis 12 yard rush (Jim Martin kick),17,0
3,2.0,Cardinals,Sonny Randle 25 yard pass from Sam Etcheverry (Bobby Joe Conrad kick),17,7
4,2.0,Cardinals,Prentice Gautt 3 yard pass from Sam Etcheverry (Bobby Joe Conrad kick),17,14
5,3.0,Lions,Dan Lewis 14 yard rush (Jim Martin kick),24,14
6,3.0,Lions,Terry Barr 40 yard pass from Jim Ninowski (Jim Martin kick),31,14
7,4.0,Lions,Howard Cassady 3 yard rush (Jim Martin kick),38,14
8,4.0,Lions,Howard Cassady 4 yard pass from Earl Morrall (Jim Martin kick),45,14
