,Quarter,Time,Tm,Detail,WAS,PHI
0,1.0,8:42,Redskins,Darrel Young 4 yard pass from Kirk Cousins (Kai Forbath kick),7,0
1,1.0,8:29,Eagles,Chris Polk 102 yard kickoff return (Cody Parkey kick),7,7
2,1.0,2:09,Redskins,Pierre Garcon 4 yard pass from Kirk Cousins (Kai Forbath kick),14,7
3,2.0,8:49,Redskins,Kai Forbath 49 yard field goal,17,7
4,2.0,5:48,Eagles,Jordan Matthews 11 yard pass from Nick Foles (Cody Parkey kick),17,14
5,2.0,1:15,Redskins,Kai Forbath 44 yard field goal,20,14
6,2.0,0:09,Eagles,Jordan Matthews 11 yard pass from Nick Foles (Cody Parkey kick),20,21
7,3.0,12:03,Eagles,Cody Parkey 38 yard field goal,20,24
8,3.0,8:04,Eagles,Cody Parkey 33 yard field goal,20,27
9,3.0,2:04,Redskins,DeSean Jackson 81 yard pass from Kirk Cousins (Kai Forbath kick),27,27
10,4.0,7:34,Eagles,Jeremy Maclin 27 yard pass from Nick Foles (Cody Parkey kick),27,34
11,4.0,5:55,Eagles,Cody Parkey 51 yard field goal,27,37
12,4.0,4:16,Redskins,Roy Helu 1 yard rush (Kai Forbath kick),34,37
