,Quarter,Time,Tm,Detail,TEN,JAX
0,1.0,13:07,Jaguars,James O'Shaughnessy 7 yard pass from Gardner Minshew II (Josh Lambo kick),0,7
1,1.0,6:42,Jaguars,DJ Chark 22 yard pass from Gardner Minshew II (Josh Lambo kick),0,14
2,3.0,7:59,Jaguars,Josh Lambo 40 yard field goal,0,17
3,4.0,12:08,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),7,17
4,4.0,7:38,Jaguars,Josh Lambo 48 yard field goal,7,20
