,Quarter,Tm,Detail,MIN,RAM
0,1.0,Rams,Pat Haden 7 yard rush (Rafael Septien kick),0,7
1,2.0,Rams,Charle Young 2 yard pass from Pat Haden (Rafael Septien kick),0,14
2,2.0,Rams,Harold Jackson 9 yard pass from Pat Haden (Rafael Septien kick),0,21
3,3.0,Rams,John Cappelletti 1 yard rush (Rafael Septien kick),0,28
4,4.0,Vikings,Fred Cox 42 yard field goal,3,28
5,4.0,Rams,Wendell Tyler 44 yard rush (Rafael Septien kick),3,35
