,Quarter,Tm,Detail,PHO,MIN
0,1.0,Vikings,Cris Carter 42 yard pass from Rich Gannon (Fuad Reveiz kick),0,7
1,2.0,Vikings,Herschel Walker 1 yard rush (Fuad Reveiz kick),0,14
2,2.0,Vikings,Rich Gannon 18 yard rush,0,20
3,3.0,Vikings,Anthony Carter 3 yard pass from Rich Gannon (Fuad Reveiz kick),0,27
4,4.0,Vikings,Alfred Anderson 6 yard rush (Fuad Reveiz kick),0,34
5,4.0,Cardinals,Anthony Thompson 1 yard rush (Greg Davis kick),7,34
