,Quarter,Tm,Detail,PIT,CLE
0,1.0,Steelers,Lou Michaels 18 yard field goal,3,0
1,1.0,Browns,Jim Brown 8 yard rush (Lou Groza kick),3,7
2,2.0,Steelers,Lou Michaels 8 yard field goal,6,7
3,2.0,Steelers,Buddy Dial 24 yard pass from Ed Brown (Lou Michaels kick),13,7
4,2.0,Browns,Gary Collins 15 yard pass from Frank Ryan (Lou Groza kick),13,14
5,2.0,Steelers,Buddy Dial 41 yard pass from Ed Brown (Lou Michaels kick),20,14
6,3.0,Browns,Frank Ryan 13 yard rush (Lou Groza kick),20,21
7,3.0,Steelers,Lou Michaels 8 yard field goal,23,21
8,4.0,Browns,Gary Collins 20 yard pass from Frank Ryan (Lou Groza kick),23,28
9,4.0,Browns,Rich Kreitling 19 yard pass from Frank Ryan (Lou Groza kick),23,35
