,Quarter,Time,Tm,Detail,GNB,ARI
0,1.0,4:36,Packers,Ahman Green 19 yard rush (Ryan Longwell kick),7,0
1,2.0,14:05,Packers,Bill Schroeder 55 yard pass from Brett Favre (Ryan Longwell kick),14,0
2,2.0,8:48,Cardinals,Cary Blanchard 31 yard field goal,14,3
3,2.0,2:06,Packers,Ryan Longwell 38 yard field goal,17,3
4,3.0,8:47,Packers,Ryan Longwell 47 yard field goal,20,3
5,3.0,0:49,Packers,Ryan Longwell 48 yard field goal,23,3
6,4.0,9:33,Packers,Ryan Longwell 37 yard field goal,26,3
7,4.0,8:53,Packers,Ryan Longwell 22 yard field goal,29,3
