,Quarter,Tm,Detail,HAM,GNB
0,2,Packers,Verne Lewellen unknown yard pass from Charlie Mathys (Curly Lambeau kick),0,7
1,4,Packers,Myrt Basing unknown yard rush (Cub Buck kick),0,14
