,Quarter,Tm,Detail,WAS,MIA
0,2.0,Dolphins,Fuad Reveiz 48 yard field goal,0,3
1,2.0,Redskins,Kelvin Bryant 6 yard rush (Ali Haji-Sheikh kick),7,3
2,2.0,Dolphins,Mark Duper 26 yard pass from Dan Marino,7,9
3,3.0,Redskins,Jay Schroeder 6 yard rush (Ali Haji-Sheikh kick),14,9
4,4.0,Dolphins,Mark Duper 59 yard pass from Dan Marino (Fuad Reveiz kick),14,16
5,4.0,Redskins,George Rogers 2 yard rush (Ali Haji-Sheikh kick),21,16
6,4.0,Dolphins,Mark Duper 6 yard pass from Dan Marino (Fuad Reveiz kick),21,23
