,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Mike Lansford 35 yard field goal,0,3
1,2.0,Rams,Mike Lansford 36 yard field goal,0,6
2,2.0,Rams,Greg Bell 1 yard rush (Mike Lansford kick),0,13
3,2.0,Rams,Henry Ellard 28 yard pass from Jim Everett,0,19
4,3.0,Rams,Mike Lansford 32 yard field goal,0,22
5,4.0,Falcons,Jessie Tuggle 2 yard special teams fumble return (Greg Davis kick),7,22
