,Quarter,Tm,Detail,PIT,HOU
0,2.0,Oilers,Ken Burrough 25 yard pass from Dan Pastorini (Toni Fritsch kick),0,7
1,3.0,Steelers,Matt Bahr 37 yard field goal,3,7
2,3.0,Oilers,Toni Fritsch 24 yard field goal,3,10
3,4.0,Oilers,Toni Fritsch 34 yard field goal,3,13
4,4.0,Steelers,Lynn Swann 9 yard rush (Matt Bahr kick),10,13
5,4.0,Oilers,Rob Carpenter 4 yard rush (Toni Fritsch kick),10,20
6,4.0,Steelers,John Stallworth 34 yard pass from Terry Bradshaw (Matt Bahr kick),17,20
