,Quarter,Tm,Detail,PIT,SFO
0,1.0,Steelers,John Rowser 71 yard interception return (Roy Gerela kick),7,0
1,2.0,49ers,Windlan Hall special teams fumble recovery in end zone (Bruce Gossett kick),7,7
2,2.0,Steelers,Preston Pearson 1 yard rush (Roy Gerela kick),14,7
3,3.0,Steelers,Roy Gerela 27 yard field goal,17,7
4,3.0,Steelers,Roy Gerela 27 yard field goal,20,7
5,3.0,Steelers,Frank Lewis 50 yard pass from Terry Bradshaw (Roy Gerela kick),27,7
6,4.0,Steelers,Roy Gerela 35 yard field goal,30,7
7,4.0,Steelers,Steve Davis 1 yard rush (Roy Gerela kick),37,7
8,4.0,49ers,Dave Atkins 3 yard rush (Bruce Gossett kick),37,14
