,Quarter,Tm,Detail,DET,RAM
0,2.0,Lions,Bobby Layne 11 yard field goal,3,0
1,2.0,Lions,Bobby Layne 15 yard field goal,6,0
2,3.0,Lions,Bobby Layne 2 yard rush (Bobby Layne kick),13,0
3,4.0,Rams,Elroy Hirsch 37 yard pass from Norm Van Brocklin (Les Richter kick),13,7
4,4.0,Lions,Jim Martin 43 yard field goal,16,7
