,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Harlon Hill 26 yard pass from George Blanda (George Blanda kick),0,7
1,1.0,49ers,Hugh McElhenny 47 yard rush (Gordie Soltau kick),7,7
2,1.0,Bears,Bill McColl 5 yard pass from George Blanda (George Blanda kick),7,14
3,2.0,49ers,Hardy Brown 41 yard interception return (Gordie Soltau kick),14,14
4,2.0,Bears,George Blanda 15 yard field goal,14,17
5,3.0,49ers,Hugh McElhenny 7 yard rush (Gordie Soltau kick),21,17
6,3.0,49ers,John Henry Johnson 5 yard rush (Gordie Soltau kick),28,17
7,3.0,49ers,Gordie Soltau 21 yard field goal,31,17
8,4.0,Bears,Jim Dooley 18 yard pass from George Blanda (George Blanda kick),31,24
