,Quarter,Tm,Detail,PIT,DAL
0,1.0,Steelers,Roy Gerela 39 yard field goal,3,0
1,1.0,Cowboys,Toni Fritsch 40 yard field goal,3,3
2,1.0,Steelers,Roy Gerela 39 yard field goal,6,3
3,2.0,Steelers,Mel Blount 35 yard defensive fumble return (Roy Gerela kick),13,3
4,2.0,Cowboys,Calvin Hill 1 yard rush (Toni Fritsch kick),13,10
5,3.0,Cowboys,Ron Sellers 55 yard pass from Calvin Hill (Toni Fritsch kick),13,17
