,Quarter,Tm,Detail,OAK,SEA
0,2.0,Seahawks,Lawrence McCutcheon 1 yard rush (Efren Herrera kick),0,7
1,3.0,Seahawks,Dan Doornink 8 yard pass from Jim Zorn (Efren Herrera kick),0,14
2,3.0,Raiders,Arthur Whittington 10 yard rush (Chris Bahr kick),7,14
3,4.0,Seahawks,Efren Herrera 37 yard field goal,7,17
4,4.0,Raiders,"Safety, Hendricks blocked punt out of end zone",9,17
5,4.0,Raiders,Mark van Eeghen 1 yard rush (Chris Bahr kick),16,17
6,4.0,Raiders,Chris Bahr 28 yard field goal,19,17
