,Quarter,Tm,Detail,CIN,CLE
0,1.0,Browns,Greg Pruitt 2 yard rush,0,6
1,1.0,Browns,Don Cockroft 27 yard field goal,0,9
2,1.0,Bengals,Bob Trumpy 35 yard pass from Ken Anderson (Dave Green kick),7,9
3,1.0,Bengals,Stan Fritts 4 yard rush,13,9
4,2.0,Bengals,Isaac Curtis 30 yard pass from Ken Anderson (Dave Green kick),20,9
5,2.0,Browns,Don Cockroft 32 yard field goal,20,12
6,3.0,Bengals,Dave Green 21 yard field goal,23,12
7,3.0,Browns,Don Cockroft 43 yard field goal,23,15
8,4.0,Browns,Oscar Roan 5 yard pass from Mike Phipps (Don Cockroft kick),23,22
9,4.0,Browns,Greg Pruitt 13 yard pass from Mike Phipps (Don Cockroft kick),23,29
10,4.0,Browns,Jim Hill 56 yard interception return,23,35
