,Quarter,Tm,Detail,RAM,ATL
0,1.0,Rams,David Ray 10 yard field goal,3,0
1,2.0,Falcons,Paul Gipson 51 yard pass from Bob Berry (Ken Vinyard kick),3,7
2,3.0,Rams,Coy Bacon 14 yard defensive fumble return (David Ray kick),10,7
3,3.0,Rams,Kermit Alexander 25 yard interception return (David Ray kick),17,7
