,Quarter,Tm,Detail,BAL,PIT
0,1.0,Steelers,Franco Harris 8 yard rush (Roy Gerela kick),0,7
1,2.0,Colts,Glenn Doughty 5 yard pass from Marty Domres (Toni Linhart kick),7,7
2,3.0,Colts,Toni Linhart 21 yard field goal,10,7
3,3.0,Steelers,Rocky Bleier 7 yard rush (Roy Gerela kick),10,14
4,4.0,Steelers,Terry Bradshaw 2 yard rush (Roy Gerela kick),10,21
5,4.0,Steelers,Andy Russell 93 yard defensive fumble return (Roy Gerela kick),10,28
