,Quarter,Tm,Detail,RAI,KAN
0,1.0,Chiefs,Nick Lowery 35 yard field goal,0,3
1,2.0,Raiders,Todd Christensen 4 yard pass from Jim Plunkett (Chris Bahr kick),7,3
2,2.0,Chiefs,Nick Lowery 27 yard field goal,7,6
3,3.0,Chiefs,Nick Lowery 29 yard field goal,7,9
4,4.0,Raiders,Todd Christensen 8 yard pass from Jim Plunkett (Chris Bahr kick),14,9
5,4.0,Chiefs,Billy Jackson 1 yard rush (Nick Lowery kick),14,16
6,4.0,Raiders,Calvin Muhammad 35 yard pass from Jim Plunkett (Chris Bahr kick),21,16
