,Quarter,Tm,Detail,TAM,RAM
0,1,Rams,Barry Redden 1 yard rush (Mike Lansford kick),0,7
1,1,Rams,Eric Dickerson 40 yard rush (Mike Lansford kick),0,14
2,2,Buccaneers,Steve Young 4 yard rush (Donald Igwebuike kick),7,14
3,2,Rams,Mike Lansford 34 yard field goal,7,17
4,2,Buccaneers,Donald Igwebuike 26 yard field goal,10,17
5,3,Buccaneers,Nathan Wonsley 59 yard rush (Donald Igwebuike kick),17,17
6,4,Rams,Mike Lansford 40 yard field goal,17,20
7,4,Buccaneers,Donald Igwebuike 37 yard field goal,20,20
8,OT,Rams,Eric Dickerson 42 yard rush,20,26
