,Quarter,Time,Tm,Detail,NYG,MIA
0,1.0,,Giants,Rodney Hampton 4 yard rush (Brad Daluiso kick),7,0
1,1.0,,Dolphins,Robert Wilson 3 yard pass from Dan Marino (Joe Nedney kick),7,7
2,2.0,,Giants,Howard Cross 1 yard pass from Dave Brown (Brad Daluiso kick),14,7
3,3.0,,Giants,Brad Daluiso 37 yard field goal,17,7
