,Quarter,Time,Tm,Detail,GNB,MIN
0,1.0,7:38,Packers,Ryan Longwell 34 yard field goal,3,0
1,1.0,2:04,Packers,Antonio Freeman 18 yard pass from Brett Favre (Ryan Longwell kick),10,0
2,1.0,1:36,Vikings,Randy Moss 78 yard pass from Daunte Culpepper (Gary Anderson kick),10,7
3,2.0,11:51,Packers,Ahman Green 6 yard pass from Brett Favre (Ryan Longwell kick),17,7
4,2.0,2:41,Packers,Ryan Longwell 35 yard field goal,20,7
5,2.0,0:20,Vikings,Daunte Culpepper 3 yard rush (Gary Anderson kick),20,14
6,3.0,8:39,Packers,Ryan Longwell 43 yard field goal,23,14
7,3.0,3:58,Vikings,Johnny McWilliams 22 yard pass from Daunte Culpepper (Gary Anderson kick),23,21
8,4.0,14:56,Packers,Bill Schroeder 3 yard pass from Brett Favre (Ryan Longwell kick),30,21
9,4.0,6:51,Packers,Ryan Longwell 36 yard field goal,33,21
10,4.0,2:38,Vikings,Cris Carter 5 yard pass from Daunte Culpepper (Gary Anderson kick),33,28
