,Quarter,Time,Tm,Detail,SFO,CHI
0,2.0,8:57,49ers,Joe Nedney 30 yard field goal,3,0
1,2.0,0:00,Bears,Nathan Vasher 108 yard field goal return (Robbie Gould kick),3,7
2,3.0,9:38,49ers,Joe Nedney 34 yard field goal,6,7
3,4.0,14:33,Bears,Adrian Peterson 7 yard rush (Robbie Gould kick),6,14
4,4.0,10:54,49ers,Joe Nedney 29 yard field goal,9,14
5,4.0,7:40,Bears,Robbie Gould 37 yard field goal,9,17
