,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,Mike Garrett 3 yard rush (Dennis Partee kick),7,0
1,1.0,Chiefs,Wendell Hayes 4 yard pass from Len Dawson (Jan Stenerud kick),7,7
2,2.0,Chargers,Dennis Partee 46 yard field goal,10,7
3,2.0,Chargers,John Hadl 1 yard rush (Dennis Partee kick),17,7
4,2.0,Chargers,Gary Garrison 20 yard pass from John Hadl (Dennis Partee kick),24,7
5,3.0,Chargers,Dennis Partee 24 yard field goal,27,7
6,3.0,Chiefs,Jan Stenerud 28 yard field goal,27,10
7,4.0,Chiefs,Robert West 36 yard pass from Mike Livingston (Jan Stenerud kick),27,17
